               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.030637,            0.029257,           0.0056243,             0.55114,             0.54273,             0.50025,             0.31021,            0.045154,            0.040765,            0.021519,           0.0056862,           0.0056862,           0.0056862
                 107,            0.031072,            0.029255,           0.0058251,             0.55081,             0.55924,               0.494,             0.28381,            0.045349,            0.041889,            0.022644,           0.0056236,           0.0056236,           0.0056236
                 108,            0.032278,            0.028623,           0.0061455,             0.58283,             0.51844,             0.50038,             0.26493,            0.044702,            0.042404,            0.022629,           0.0055611,           0.0055611,           0.0055611
                 109,            0.031334,            0.027072,           0.0050175,             0.56301,             0.53067,             0.50381,              0.2534,            0.044555,            0.042728,            0.023687,           0.0054987,           0.0054987,           0.0054987
                 110,            0.032041,            0.027998,           0.0056464,             0.57628,             0.58788,             0.54304,               0.302,            0.044717,            0.043132,            0.022384,           0.0054364,           0.0054364,           0.0054364
                 111,            0.032607,            0.028909,           0.0053045,             0.48722,             0.54012,             0.49936,             0.27517,            0.045216,            0.043299,            0.021162,           0.0053743,           0.0053743,           0.0053743
                 112,            0.031424,            0.027408,           0.0062122,             0.49457,             0.57145,             0.49368,             0.28899,            0.044602,            0.042582,            0.020971,           0.0053123,           0.0053123,           0.0053123
                 113,            0.031545,            0.028631,           0.0053407,             0.51787,               0.465,             0.45193,             0.23796,            0.047201,            0.042822,            0.020984,           0.0052505,           0.0052505,           0.0052505
                 114,            0.029589,            0.027303,           0.0051697,              0.6076,             0.50678,             0.50263,             0.28426,            0.045196,            0.042352,             0.02167,           0.0051889,           0.0051889,           0.0051889
                 115,            0.029547,            0.027959,           0.0047125,             0.42915,             0.54072,             0.46878,             0.26132,             0.04705,            0.042581,             0.02294,           0.0051274,           0.0051274,           0.0051274
                 116,            0.029404,             0.02699,           0.0049312,             0.41918,              0.5652,             0.45982,             0.26565,            0.047016,            0.042928,            0.022117,           0.0050662,           0.0050662,           0.0050662
                 117,            0.030362,              0.0274,           0.0052138,             0.47852,             0.55488,             0.48282,             0.28087,            0.045336,            0.042304,            0.021616,           0.0050052,           0.0050052,           0.0050052
                 118,            0.030839,            0.028321,           0.0053811,             0.52659,             0.52932,             0.49527,             0.26889,            0.045942,            0.041922,             0.02191,           0.0049445,           0.0049445,           0.0049445
                 119,            0.030145,            0.027235,           0.0055276,             0.52519,             0.56831,             0.51647,              0.3015,             0.04497,            0.043355,            0.021425,            0.004884,            0.004884,            0.004884
                 120,            0.031404,            0.027519,           0.0054852,             0.50256,             0.55663,             0.50537,             0.28775,            0.045264,            0.043034,            0.021654,           0.0048238,           0.0048238,           0.0048238
                 121,             0.02935,            0.027432,           0.0052884,             0.56558,             0.52587,             0.51974,             0.28763,            0.045172,            0.042936,            0.022104,           0.0047639,           0.0047639,           0.0047639
                 122,            0.030417,            0.026314,           0.0051255,             0.52458,             0.57317,              0.5237,             0.29197,            0.045863,            0.043784,             0.02186,           0.0047043,           0.0047043,           0.0047043
                 123,            0.028845,             0.02711,           0.0055079,             0.61548,             0.50862,              0.5227,             0.30398,            0.045318,            0.043573,            0.020903,            0.004645,            0.004645,            0.004645
                 124,            0.027691,            0.026915,           0.0046645,             0.42732,             0.49684,             0.45802,             0.26094,            0.047606,            0.042559,            0.021474,           0.0045861,           0.0045861,           0.0045861
                 125,             0.02844,            0.026305,           0.0040729,              0.6262,             0.52291,             0.54038,             0.30958,            0.045611,            0.043064,            0.022034,           0.0045275,           0.0045275,           0.0045275
                 126,            0.029729,            0.026753,           0.0052227,             0.50826,             0.56541,             0.51691,              0.2996,            0.045237,            0.043515,            0.021531,           0.0044693,           0.0044693,           0.0044693
                 127,            0.029759,            0.028189,           0.0046196,             0.61134,             0.51394,             0.52284,             0.29184,            0.045657,            0.042963,             0.02175,           0.0044114,           0.0044114,           0.0044114
                 128,             0.02812,            0.025453,           0.0043514,             0.49745,             0.58609,             0.50513,              0.2954,            0.044352,            0.043235,            0.020988,           0.0043539,           0.0043539,           0.0043539
                 129,            0.028001,            0.026509,           0.0047699,             0.60958,             0.49019,             0.50066,             0.27999,            0.045718,            0.044029,             0.02194,           0.0042969,           0.0042969,           0.0042969
                 130,            0.028146,            0.027412,           0.0044564,             0.55538,             0.50311,             0.49635,             0.27759,            0.046255,             0.04496,             0.02218,           0.0042402,           0.0042402,           0.0042402
                 131,            0.028359,            0.025564,           0.0049278,             0.65106,             0.46602,             0.51633,             0.28238,            0.045142,            0.043821,            0.022569,            0.004184,            0.004184,            0.004184
                 132,            0.028264,            0.025804,           0.0056977,             0.56051,             0.51693,             0.49221,             0.29159,            0.045573,            0.043463,            0.021297,           0.0041283,           0.0041283,           0.0041283
                 133,             0.02737,            0.026219,           0.0046204,             0.56811,             0.49594,             0.48845,             0.29667,            0.045571,            0.042944,            0.020444,            0.004073,            0.004073,            0.004073
                 134,            0.028534,            0.027866,           0.0047704,             0.58508,             0.54227,             0.54437,             0.30002,             0.04459,            0.043501,            0.020806,           0.0040182,           0.0040182,           0.0040182
                 135,            0.027398,            0.026278,           0.0046843,             0.66756,             0.48491,             0.53645,              0.2932,            0.044376,            0.043393,            0.019909,           0.0039638,           0.0039638,           0.0039638
                 136,             0.02739,            0.026375,           0.0042511,              0.5285,             0.57561,             0.53315,             0.28177,            0.045404,            0.044351,            0.021384,             0.00391,             0.00391,             0.00391
                 137,            0.028048,             0.02437,           0.0044423,             0.53744,             0.53854,             0.50168,             0.27673,            0.045549,             0.04643,            0.022131,           0.0038567,           0.0038567,           0.0038567
                 138,            0.026215,            0.025465,           0.0036835,             0.57049,             0.56883,             0.52388,             0.30786,            0.043952,            0.046414,            0.020447,           0.0038039,           0.0038039,           0.0038039
                 139,            0.026879,             0.02517,           0.0044135,             0.54825,             0.48911,             0.48013,             0.27784,             0.04521,            0.046067,            0.021181,           0.0037517,           0.0037517,           0.0037517
                 140,             0.02675,            0.025977,           0.0042028,             0.55309,             0.52696,             0.49994,             0.29221,            0.042696,            0.045627,             0.02119,              0.0037,              0.0037,              0.0037
                 141,             0.02613,             0.02554,           0.0039594,             0.59939,             0.50716,             0.49132,             0.28276,            0.043828,            0.045505,            0.022024,           0.0036489,           0.0036489,           0.0036489
                 142,            0.027284,            0.025571,           0.0049502,             0.65934,             0.53721,             0.55178,             0.30135,            0.043676,            0.045052,            0.022585,           0.0035983,           0.0035983,           0.0035983
                 143,            0.026815,            0.025629,            0.004845,             0.52602,             0.63109,             0.55324,             0.30734,            0.043356,            0.045128,            0.022051,           0.0035484,           0.0035484,           0.0035484
                 144,            0.026391,            0.025382,           0.0048929,             0.53574,             0.57541,             0.51633,             0.28645,            0.045417,              0.0452,            0.022869,            0.003499,            0.003499,            0.003499
                 145,            0.026428,            0.025972,           0.0043366,             0.57658,              0.5413,             0.50242,             0.29656,              0.0444,             0.04599,            0.022274,           0.0034503,           0.0034503,           0.0034503
                 146,            0.026428,            0.026675,           0.0044685,             0.59144,             0.53657,             0.52094,             0.29304,            0.043975,            0.045325,            0.021403,           0.0034022,           0.0034022,           0.0034022
                 147,            0.025676,            0.025269,            0.004941,             0.65071,               0.534,             0.52771,             0.29285,            0.043741,            0.045588,            0.022093,           0.0033548,           0.0033548,           0.0033548
                 148,            0.025274,            0.026462,           0.0045985,             0.64332,             0.51243,             0.50817,             0.30156,            0.043154,            0.045442,            0.022503,           0.0033079,           0.0033079,           0.0033079
